unidade;tarefa;caminho;status;quant_total;und;fonte
Sobrado 01;Locação de obra - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > LOCAÇÃO DE OBRA;pendente;;;
Sobrado 01;Escavação - Estacas - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > ESTACAS;aplicado;157;m;Escavação de estacas mecanizada (d=30 cm)
Sobrado 01;Armação  - Estacas - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > ESTACAS;pendente;;;
Sobrado 01;Concretagem  - Estacas - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > ESTACAS;pendente;;;
Sobrado 01;Escavação - Blocos - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > BLOCOS;aplicado;5,8;m³;Escavação manual de vala - profundidade até 1,5 m
Sobrado 01;Locação e Montagem - Armação  - Blocos - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > BLOCOS;pendente;;;
Sobrado 01;Concretagem Blocos  - Blocos - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > BLOCOS;pendente;;;
Sobrado 01;Reaterro bloco de coroamento  - Blocos - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > BLOCOS;aplicado;2,6;m³;Reaterro de vala com compactação manual
Sobrado 01;Escavação e lastro - Viga Baldrame - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > VIGA BALDRAME;pendente;;;
Sobrado 01;Forma e Montagem de armação - Viga Baldrame - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > VIGA BALDRAME;pendente;;;
Sobrado 01;Passagem de tubulação - Viga Baldrame - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > VIGA BALDRAME;pendente;;;
Sobrado 01;Concretagem Baldrame - Viga Baldrame - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > VIGA BALDRAME;aplicado;2,36;m³;Concretagem de estruturas diversas, concreto usinado fck 30 mpa - Transporte, lançamento bombeado, adensamento e acabamento
Sobrado 01;Desforma Baldrame - Viga Baldrame - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > VIGA BALDRAME;aplicado;40,13;m²;Montagem e desmontagem de forma para estruturas de concreto armado, em chapa de madeira compensada resinada 14 mm
Sobrado 01;Impermeabilização com tinta asfáltica - Viga Baldrame - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > VIGA BALDRAME;aplicado;36,1;m²;Impermeabilização de estruturas com tinta asfáltica, duas demãos
Sobrado 01;Aterro da baldrame e compactação - Casa 01;CASA 01 > INFRAESTRUTURA  - CASA 01 > MOVIMENTAÇÃO DE TERRA;pendente;;;
Sobrado 01;Locação e Armação - Pilares - Térreo - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > PILARES - TÉRREO;aplicado;389,4;kg;soma de 2 itens (1.3.2.3.1.3, 1.3.2.3.1.4)
Sobrado 01;Fôrma - Pilares - Térreo - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > PILARES - TÉRREO;aplicado;50,25;m²;Montagem e desmontagem de forma para estruturas de concreto armado, em chapa de madeira compensada resinada 14 mm
Sobrado 01;Concretagem- Térreo - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > PILARES - TÉRREO;aplicado;2,59;m³;Concretagem de estruturas diversas, concreto usinado fck 30 mpa - Transporte, lançamento bombeado, adensamento e acabamento
Sobrado 01;Armação - Vigas  - Vigas Superiores (Pav. Térreo) - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > VIGAS  - TÉRREO;aplicado;726,2;kg;soma de 6 itens (1.3.2.3.2.3, 1.3.2.3.2.4, 1.3.2.3.2.5, 1.3.2.3.2.6, 1.3.2.3.2.7, 1.3.2.3.2.8)
Sobrado 01;Fôrma - Vigas  - Vigas Superiores (Pav. Térreo) - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > VIGAS  - TÉRREO;aplicado;98,09;m²;Montagem e desmontagem de forma para estruturas de concreto armado, em chapa de madeira compensada resinada 14 mm
Sobrado 01;Montagem e escoramento - laje superior (Pav. Térreo) - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > LAJES  - TÉRREO;aplicado;47,07;m²;Laje treliçada bidirecional c/ eps
Sobrado 01;Armação - laje superior (Pav. Térreo) - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > LAJES  - TÉRREO;aplicado;8;kg;Armação, corte e dobra de aço CA-50, diâmetro de 6,3 mm, utilizado em estruturas diversas
Sobrado 01;Inst. Embutidas na laje - laje superior (Pav. Térreo) - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > LAJES  - TÉRREO;pendente;;;
Sobrado 01;Concretagem - Vigas e laje superior (Pav. Térreo) - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > LAJES  - TÉRREO;aplicado;10,06;m³;soma de 2 itens (1.3.2.3.2.9, 1.3.2.3.3.4)
Sobrado 01;Retirada do escoramento  - laje superior (Pav. Térreo) - Casa 01;CASA 01 > PAVIMENTO TÉRREO > SUPERESTRUTURA  - TÉRREO > LAJES  - TÉRREO;aplicado;49,41;m²;Escoramento para laje
Sobrado 01;Alvenaria de vedação - Térreo - Casa 01;CASA 01 > PAVIMENTO TÉRREO > VEDAÇÃO   - TÉRREO;aplicado;151,27;m²;Alvenaria de vedação de blocos cerâmicos furados na horizontal de 11,5x19x24 cm (espessura 11,5 cm) argamassa de assentamento com preparo em betoneira 400 L
Sobrado 01;Locação e Armação - Pilares - Superior - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > PILARES - SUPERIOR;aplicado;207,9;kg;soma de 2 itens (1.3.3.2.1.3, 1.3.3.2.1.4)
Sobrado 01;Fôrma - Pilares - Superior - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > PILARES - SUPERIOR;aplicado;32,68;m²;Montagem e desmontagem de forma para estruturas de concreto armado, em chapa de madeira compensada resinada 14 mm
Sobrado 01;Concretagem- Superior - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > PILARES - SUPERIOR;aplicado;1,65;m³;Concretagem de estruturas diversas, concreto usinado fck 30 mpa - Transporte, lançamento bombeado, adensamento e acabamento
Sobrado 01;Locação e Armação - Vigas   Superiores (Pav. Superior) - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > VIGAS  - SUPERIOR;aplicado;329,2;kg;soma de 5 itens (1.3.3.2.2.3, 1.3.3.2.2.4, 1.3.3.2.2.5, 1.3.3.2.2.6, 1.3.3.2.2.7)
Sobrado 01;Fôrma - Vigas  - Vigas Superiores (Pav. Superior) - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > VIGAS  - SUPERIOR;aplicado;53,28;m²;Montagem e desmontagem de forma para estruturas de concreto armado, em chapa de madeira compensada resinada 14 mm
Sobrado 01;Montagem e escoramento - laje superior (Pav. Superior) - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > LAJES  - SUPERIOR;aplicado;55,18;m²;Laje treliçada bidirecional c/ eps
Sobrado 01;Armação - laje superior (Pav. Superior) - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > LAJES  - SUPERIOR;pendente;;;
Sobrado 01;Inst. Embutidas na laje - laje superior (Pav. Superior) - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > LAJES  - SUPERIOR;pendente;;;
Sobrado 01;Concretagem - Vigas e laje superior (Pav. Superior) - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > LAJES  - SUPERIOR;aplicado;7,28;m³;soma de 2 itens (1.3.3.2.2.8, 1.3.3.2.3.4)
Sobrado 01;Retirada do escoramento  - laje superior (Pav. Superior) - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > SUPERESTRUTURA  - SUPERIOR > LAJES  - SUPERIOR;aplicado;55,18;m²;Escoramento para laje
Sobrado 01;Alvenaria de vedação - Superior - Casa 01;CASA 01 > PAVIMENTO SUPERIOR - CASA 01 > VEDAÇÃO   - SUPERIOR;aplicado;149,23;m²;Alvenaria de vedação de blocos cerâmicos furados na horizontal de 11,5x19x24 cm (espessura 11,5 cm) argamassa de assentamento com preparo em betoneira 400 L
Sobrado 01;Alvenaria de vedação - Platibanda - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA   - PLATIBANDA > VEDAÇÃO - PLATIBANDA;pendente;;;
Sobrado 01;Locação e Armação - Pilares - Platibanda - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA   - PLATIBANDA > PILARES  - PLATIBANDA;pendente;;;
Sobrado 01;Fôrma - Pilares - Platibanda - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA   - PLATIBANDA > PILARES  - PLATIBANDA;pendente;;;
Sobrado 01;Concretagem - Platibanda - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA   - PLATIBANDA > PILARES  - PLATIBANDA;pendente;;;
Sobrado 01;Locação e Armação - Vigas  Platibanda - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA   - PLATIBANDA > VIGAS  - PLATIBANDA;pendente;;;
Sobrado 01;Fôrma - Vigas  - Vigas - Platibanda - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA   - PLATIBANDA > VIGAS  - PLATIBANDA;pendente;;;
Sobrado 01;Concretagem - Vigas - Platibanda - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA   - PLATIBANDA > VIGAS  - PLATIBANDA;pendente;;;
Sobrado 01;Alvenaria de vedação - Pav. Barrilete - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA - PAV. BARRILETE > VEDAÇÃO - PAV. BARRILETE;pendente;;;
Sobrado 01;Locação e Armação - Pilares - Pav. Barrilete - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA - PAV. BARRILETE > PILARES  - PAV. BARRILETE;pendente;;;
Sobrado 01;Fôrma - Pilares - Pav. Barrilete - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA - PAV. BARRILETE > PILARES  - PAV. BARRILETE;pendente;;;
Sobrado 01;Concretagem - Pav. Barrilete - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA - PAV. BARRILETE > PILARES  - PAV. BARRILETE;pendente;;;
Sobrado 01;Locação e Armação - Vigas - Pav. Barrilete - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA - PAV. BARRILETE > VIGAS - PAV. BARRILETE;pendente;;;
Sobrado 01;Fôrma - Vigas  - Pav. Barrilete - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA - PAV. BARRILETE > VIGAS - PAV. BARRILETE;pendente;;;
Sobrado 01;Concretagem - Vigas - Pav. Barrilete - Casa 01;CASA 01 > PAVIMENTO PLATIBANDA E CAIXA D'ÁGUA > SUPERESTRUTURA - PAV. BARRILETE > VIGAS - PAV. BARRILETE;pendente;;;
Sobrado 01;Chapisco interno - Platibanda - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Platibanda;aplicado;38,83;m²;Chapisco interno aplicado em alvenarias e estruturas de concreto, com colher de pedreiro. Argamassa traço 1:3 com preparo em betoneira 400 L esp = 5 mm
Sobrado 01;Reboco interno - Platibanda   - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Platibanda;aplicado;38,83;m²;Reboco interno massa única c/ montagem e desmontagem de andaime para recebimento de pintura, em argamassa traço 1:6, preparo betoneira 400 L, aplicada manualmente em faces de paredes, espessura de 20 mm, com execução de taliscas.
